filename,tonic,mode,kind,notes
21 PYTH Pad 3 D# July 26.wav,D#,,pad,same length as 'PYTH Pad 3 D# July 26.wav' but smaller file - probably a different render/bit depth
BURROAK_SYNTH_LOOP_04_F_172.wav,F,,loop,
JOEFORD_SYNTH_LOOP_04_B_182.wav,B,,loop,
MYSELOR_SYNTH_HIT_01_F.wav,F,,one-shot,
MZTK_172_D_Synth_Arp.wav,D,,loop,
MZTK_172_Em_Rhythm_Synth_02.wav,E,minor,loop,
NL_STAB_LOOP_02_174_F.wav,F,,loop,stab loop
NL_STAB_LOOP_08_174_C#.wav,C#,,loop,stab loop
PROX_SYNTHLOOP_F_08_174BPM.wav,F,,loop,
PYTH Pad 3 D# July 26.wav,D#,,pad,
PYTH_80IES_OFF_PAD_G.wav,G,,pad,
PYTH_CRY_CRY_PAD_IN_F_MINOR_CHORD.wav,F,minor,pad,
PYTH_SWELLING_PAD_E.wav,E,,pad,
PYTH_WINDY_PAD_G.wav,G,,pad,
TSP_NOISIA_V2_128_perc_loop_maffe_Fm_alt.wav,F,minor,perc-loop,percussion labelled with a key
TSP_NOISIA_V2_172_music_loop_spooky_raar_melodietje_alt_D.wav,D,,loop,
VSN_NOISIA_V3_128_synth_loop_vreemde_harm_synth_Fm.wav,F,minor,loop,
VSN_NOISIA_V3_172_synth_loop_fx_padseq2_Cm.wav,C,minor,loop,
VSN_NOISIA_V3_synth_one_shot_black_hole_G#.wav,G#,,one-shot,
VSN_NOISIA_V3_synth_one_shot_electro_riff_C.wav,C,,one-shot,riff - may contain several notes
EMP_BASSLOOP_12_F_172.wav,F,,loop,bass loop
MALUX_BASSLOOP_04_F_174.wav,F,,loop,bass loop
REDPILL_BASSLOOP_15_F_175.wav,F,,loop,bass loop
TSP_4WD_174_synth_arp_cake_Fmin.wav,F,minor,loop,
TSP_4WD_174_synth_chord_sad_Dmin.wav,D,minor,loop,
TSP_4WD_174_synth_chord_suffer_Fmin.wav,F,minor,loop,
TSP_4WD_174_synth_lead_gas_Fmin.wav,F,minor,loop,
TSP_4WD_174_synth_lead_petcem_Dmin.wav,D,minor,loop,
TSP_4WD_174_synth_riddler_Emin.wav,E,minor,loop,
D minor Pads.wav,D,minor,pad,
ENTA_BASS_Bassytaps_B_Major_172.wav,B,major,loop,bass loop
ENTA_BASS_Sizzlepunch_G♭_Major_172.wav,F#,major,loop,bass loop; labelled Gb
ENTA_LEAD_Crossover_C_Major_172.wav,C,major,loop,lead
ENTA_LEAD_Holdit_F_Major_172.wav,F,major,loop,lead
ENTA_PAD_Angelic_A_minor_172.wav,A,minor,pad,
ENTA_PAD_Brassy_G#_minor_172.wav,G#,minor,pad,
ENTA_PAD_Unsure_F_major_172.wav,F,major,pad,
MINOR FORMS LEADS - Epic Intro Lead - Fsharp maj_174.wav,F#,major,loop,lead
SPEKTIV_SYNTHS_A_MINOR_VOXY.wav,A,minor,loop,
ethereal2080 - PSJ_Distant Seas_Synth Loop_D#maj_170_DRY.wav,D#,major,loop,
